query_id,doc_id
1,6577
2,4624
3,132
4,42
5,3665
6,667
8,2355
10,4284
11,1303
12,5637
13,596
14,4333
15,1342
16,1806
17,2751
18,5412
20,654
22,4942
23,5396
24,5452
25,6540
26,3159
28,319
29,5189
30,6065
32,6157
33,2678
35,5740
37,1199
38,4421
39,4984
41,2117
42,5500
43,6278
44,1938
45,807
46,3078
47,2666
48,4918
49,2961
50,4976
52,3718
53,6438
54,1875
55,856
58,5281
59,6120
60,1864
61,6003
62,2030
63,1280
64,3645
65,5873
66,3066
67,3239
68,5544
69,2260
70,53
74,2975
76,2202
79,3108
80,3677
81,5649
82,4187
83,6691
84,1959
85,1659
86,523
87,1056
89,4490
92,4638
93,4061
94,1683
95,2799
96,1384
97,4653
99,5915
100,1109
102,323
103,578
104,1159
106,202
108,5534
109,2766
110,2997
111,4814
113,6153
115,1082
116,5132
118,56
119,4130
120,753
121,1907
122,3482
124,88
125,5582
126,5305
127,6418
128,165
129,1889
133,3697
134,1648
135,557
136,6707
137,3063
138,5831
139,4731
140,2945
141,3313
142,4442
143,6124
144,700
145,6194
147,5141
148,1868
149,5581
150,2143
151,4963
152,5759
153,155
154,5237
155,565
156,2634
157,727
158,2005
159,2745
160,3042
161,3245
162,5615
163,3195
164,414
165,6099
166,831
167,4173
168,1558
169,443
170,1355
172,4841
174,4879
175,4065
176,1707
177,1431
178,2529
179,3414
180,970
181,528
182,4265
183,1844
184,5434
185,823
186,3997
187,2395
188,2939
189,3986
190,2428
191,3214
192,956
193,4147
195,812
196,4657
197,4706
198,6416
199,1477
200,4736
201,115
202,1496
204,1795
205,730
207,4474
208,6290
209,3087
210,5044
211,1216
212,4463
213,2064
214,2007
215,1360
216,4228
217,364
219,1439
220,3101
221,3180
222,551
223,4197
224,3731
225,6548
226,2462
227,4670
228,2564
230,5289
231,3316
232,3638
233,6435
234,6093
235,646
236,3027
237,3570
238,5462
240,2621
241,1681
243,2527
244,4451
245,711
246,1425
247,2717
248,1416
249,437
250,3580
253,4515
254,4319
255,506
257,1944
258,6246
259,3851
260,4611
262,4120
263,2624
264,5008
265,6512
266,4556
267,2210
268,5286
269,1935
270,5966
271,3011
272,4379
275,5689
276,6076
278,1673
279,1892
280,2967
281,3129
282,5005
283,1332
284,1951
285,2800
286,651
287,6264
288,3499
289,1020
290,6021
291,4961
292,3964
293,3062
294,3551
295,4762
297,193
298,5481
299,183
300,176
301,5429
302,4561
303,6408
304,4901
305,4623
307,5224
308,177
309,1638
310,687
311,4121
312,5549
314,4380
315,5117
316,2303
317,4193
318,1172
319,174
320,6039
321,5793
322,103
323,6309
324,4230
325,1502
326,3505
327,2185
328,837
329,2148
330,708
331,1233
332,4927
333,5630
335,6471
336,842
337,244
338,1340
339,628
340,2042
341,685
342,4015
343,2691
344,6399
345,1556
346,3172
347,5880
348,507
349,5631
