query_id,doc_id
1,6389
2,4182
3,3390
4,563
5,2091
6,254
7,6112
8,5074
9,2679
10,2206
11,555
12,2253
13,2311
14,659
15,3256
16,2183
17,4548
18,4209
19,6229
20,52
21,4966
22,5639
23,4393
24,5986
25,477
26,1079
27,2909
28,3532
29,6359
30,5025
31,4720
32,2309
33,2753
34,317
35,206
36,3821
37,4070
38,830
39,1476
40,1910
41,258
42,5444
43,1657
44,1504
45,129
46,1217
47,1983
48,3244
49,4144
50,2258
51,1009
52,4939
53,3372
54,2941
55,3814
56,3353
57,4604
58,3551
59,3282
60,5931
61,6569
62,4567
63,134
64,6574
65,5905
66,4158
67,6459
68,5168
69,6180
70,2050
71,2334
72,5290
73,6001
74,6060
75,4692
76,1897
77,4836
78,6572
79,5234
80,2731
81,1135
82,986
83,5494
84,1093
85,4889
86,549
87,1595
88,5581
89,4788
90,915
91,5507
92,5526
93,925
94,2120
95,3086
96,2445
97,5404
98,5146
99,787
100,5934
101,4258
102,1555
103,3635
104,1032
105,3072
106,4453
107,4946
108,1227
109,4563
110,2577
111,1190
112,6576
113,199
114,2504
115,1877
116,3779
117,4124
118,6204
119,6430
120,2384
121,4858
122,3969
123,1520
124,3054
125,1184
126,778
127,163
128,3781
129,2191
130,4987
131,1477
132,2397
133,1837
134,61
135,6714
136,5811
137,2318
138,2188
139,1511
140,4207
141,5504
142,3001
143,3868
144,1043
145,2177
146,840
147,5393
148,4653
149,4459
150,3268
151,4746
152,1381
153,1984
154,154
155,349
156,1853
157,1975
158,5984
159,1588
160,6675
161,74
162,5549
163,4275
164,2535
165,530
166,4611
167,3540
168,5150
169,4228
170,4712
171,5064
172,1221
173,6588
174,5461
175,5267
176,5185
177,6316
178,2041
179,968
180,5653
181,2661
182,2953
183,6486
184,480
185,3065
186,4365
187,5338
188,6399
189,1242
190,4402
191,2133
192,3218
193,5210
194,326
195,5178
196,2856
197,3300
198,481
199,2966
200,3246
201,116
202,3543
203,39
204,4487
205,3145
206,3667
207,5076
208,186
209,1968
210,2435
211,6594
212,1141
213,4533
214,5933
215,6458
216,2980
217,2863
218,5602
219,5928
220,3922
221,1385
222,1647
223,4734
224,5700
225,709
226,2809
227,5979
228,3355
229,1753
230,1695
231,3124
232,1208
233,1334
234,3655
235,921
236,1566
237,6644
238,2709
239,1377
240,977
241,1946
242,4377
243,3905
244,1804
245,5975
246,4030
247,2075
248,3190
249,2467
250,4114
251,4041
252,3393
253,5243
254,937
255,4618
256,4205
257,285
258,3502
259,1000
260,5953
261,3764
262,2481
263,5333
264,1615
265,1278
266,4480
267,2812
268,1238
269,6061
270,1330
271,5385
272,6154
273,225
274,16
275,5850
276,1066
277,3368
278,5317
279,5742
280,3860
281,2645
282,3380
283,3366
284,3876
285,3039
286,4672
287,6302
288,1300
289,4775
290,2056
291,3422
292,3436
293,2618
294,5430
295,1782
296,6308
297,1239
298,5332
299,4951
300,6519
301,3679
302,4331
303,4337
304,1156
305,4994
306,4802
307,2546
308,5963
309,1144
310,6417
311,3158
312,883
313,5456
314,302
315,5095
316,5552
317,674
318,2213
319,3708
320,2105
321,5598
322,1758
323,2175
324,755
325,6128
326,5416
327,3099
328,289
329,5037
330,1614
331,4166
332,1071
333,2291
334,1210
335,5920
336,88
337,3699
338,3269
339,5031
340,4048
341,695
342,5443
343,1924
344,1814
345,4901
346,2288
347,2557
348,5605
349,4932
350,1165
351,5018
352,3000
353,2842
354,2542
355,5367
356,6579
357,3267
358,3140
359,963
360,6290
361,3448
362,802
363,5216
364,2852
365,6546
366,5688
367,1063
368,2821
369,2197
370,6299
371,5592
372,1329
373,6366
374,3205
375,32
376,4757
377,4291
378,1034
379,1645
380,5601
381,1158
382,1480
383,3514
384,4723
385,268
386,4420
387,5111
388,3690
389,821
390,1747
391,2485
392,2078
393,907
394,2610
395,2350
396,6174
397,1438
398,4322
399,5744
400,5575
401,6058
402,3988
403,3491
404,391
405,2327
406,3706
407,294
408,6033
409,3254
410,5108
411,5874
412,183
413,5608
414,3007
415,1470
416,6455
417,3552
418,4812
419,111
420,482
421,232
422,1780
423,3503
424,2008
425,5715
426,1155
427,4490
428,4732
429,6540
430,5124
431,2072
432,6638
433,3346
434,2000
435,5548
436,4893
437,6388
438,2992
439,934
440,5117
441,2828
442,6329
443,2315
444,6157
445,3324
446,1936
447,856
448,6193
449,2496
450,5597
451,4691
452,1
453,5351
454,4261
455,5613
456,3889
457,4137
458,1492
459,4090
460,2561
461,3197
462,6502
463,4816
464,4654
465,2777
466,3763
467,4095
468,3200
469,2879
470,5479
471,2284
472,4707
473,4318
474,4160
475,2859
476,3909
477,196
478,1419
479,4446
480,2785
481,2714
482,5207
